YEAR;DAY;MONTH;TYPE
2014;15;4;pre desc
2014;1;7;pre venc
2014;13;5;veh desc
2014;22;7;veh venc
2014;18;3;ICA 1
2014;19;5;ICA 2
2014;19;7;ICA 3
2014;19;9;ICA 4
2014;18;11;ICA 5
2014;19;1;ICA 6
2014;19;2;ICA 7
2015;10;4;pre desc
2015;19;6;pre venc
2015;8;5;veh desc
2015;3;7;veh venc
2015;19;3;ICA 1
2015;19;5;ICA 2
2015;17;7;ICA 3
2015;18;9;ICA 4
2015;19;11;ICA 5
2015;19;1;ICA 6
2015;19;2;ICA 7
2016;15;4;pre desc
2016;1;7;pre venc
2016;13;5;veh desc
2016;22;7;veh venc
2016;18;3;ICA 1
2016;19;5;ICA 2
2016;19;7;ICA 3
2016;19;9;ICA 4
2016;18;11;ICA 5
2016;19;1;ICA 6
2016;19;2;ICA 7
2017;7;4;pre desc
2017;16;6;pre venc
2017;5;5;veh desc
2017;23;6;veh venc
2017;17;3;ICA 1
2017;19;5;ICA 2
2017;21;7;ICA 3
2017;19;9;ICA 4
2017;17;11;ICA 5
2017;19;1;ICA 6
2017;20;2;ICA 7
2018;6;4;pre desc
2018;15;6;pre venc
2018;4;5;veh desc
2018;22;6;veh venc
2018;16;3;ICA 1
2018;18;5;ICA 2
2018;23;7;ICA 3
2018;21;9;ICA 4
2018;16;11;ICA 5
2018;18;1;ICA 6
2018;25;1;ICA 7
